Program ID,Program Name,Product ID,Name,Active Date,Expire Date,Coupon Code,Coupon Restrictions,Payout,Allows Deeplinking,Link Code,Created
158554,Silk&#39;n,1174230,Use Promo Code: LOVEIT to save 15% OFF storewide,,,LOVEIT,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174230&fot=9999&foc=0,10/16/2014 8:18
158554,Silk&#39;n,1174230,Use Promo Code: LOVEIT to save 15% OFF storewide,,,LOVEIT,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174230&fot=9999&foc=0,10/16/2014 8:18
158554,Silk&#39;n,1174252,Use Promo Code: DEALMOON to save 50% on the SensEpilXL 65K ,,,DEALMOON,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174252&fot=9999&foc=0,10/16/2014 8:18
158554,Silk&#39;n,1174252,Use Promo Code: DEALMOON to save 50% on the SensEpilXL 65K ,,,DEALMOON,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174252&fot=9999&foc=0,10/16/2014 8:18
157145,Groupon,1174435,15% off one Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 Only,,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174435&fot=9999&foc=0,10/16/2014 8:18
157145,Groupon,1174435,15% off one Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 Only,,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174435&fot=9999&foc=0,10/16/2014 8:18
158554,Silk&#39;n,1174443,*Use Promo Code: DEALMOON to save 50% on the SensEpil Pro 65K,,,DEALMOON,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174443&fot=9999&foc=0,10/16/2014 8:18
158554,Silk&#39;n,1174443,*Use Promo Code: DEALMOON to save 50% on the SensEpil Pro 65K,,,DEALMOON,,The payout is 6.8% for all purchases.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174443&fot=9999&foc=0,10/16/2014 8:18
157145,Groupon,1174866,15% off one Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 only (300x250),,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174866&fot=9999&foc=0,10/16/2014 16:05
157145,Groupon,1174866,15% off one Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 only (300x250),,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174866&fot=9999&foc=0,10/16/2014 16:05
158416,Zumba Fitness,1174880,Save 20% off on any Incredible Results At-Home DVD system today at Zumba.com! Use code: WELCOME20  **new customers only! (728x90),1/6/2015,12/30/2015,WELCOME20,,"The payout is 6.4% (purchase), 7.2% (consumer products) and $0.04 (Class Details Page visits) of sales.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174880&fot=9999&foc=0,10/16/2014 16:05
158416,Zumba Fitness,1174880,Save 20% off on any Incredible Results At-Home DVD system today at Zumba.com! Use code: WELCOME20  **new customers only! (728x90),1/6/2015,12/30/2015,WELCOME20,,"The payout is 6.4% (purchase), 7.2% (consumer products) and $0.04 (Class Details Page visits) of sales.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174880&fot=9999&foc=0,10/16/2014 16:05
157145,Groupon,1174883,"15% Off one Local Health &amp; Beauty Deal  Code: SPA15
10/16&amp;10/17 Only (250x250)",,,"SPA15
10/16&10/17",,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174883&fot=9999&foc=0,10/16/2014 16:05
157145,Groupon,1174883,"15% Off one Local Health &amp; Beauty Deal  Code: SPA15
10/16&amp;10/17 Only (250x250)",,,"SPA15
10/16&10/17",,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174883&fot=9999&foc=0,10/16/2014 16:05
157145,Groupon,1174893,15% Off One Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 only (600x500),,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174893&fot=9999&foc=0,10/16/2014 16:05
157145,Groupon,1174893,15% Off One Local Health &amp; Beauty Deal Code: SPA15 10/16 &amp; 10/17 only (600x500),,,SPA15,,"The payout is 4% (Goods, Getaways, Occasions, and Live and Now!) and 9.6% per sale on Local deals.",FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1174893&fot=9999&foc=0,10/16/2014 16:05
158456,World Book Store,1175670,Get free Student Dictionary on orders over $100; get free World Book Classic Dictionary for orders over $200. Coupon code:DICTIONARY. Expires 10/23/2014,,,DICTIONARY,,The payout is 9.6% for sales.,FALSE,http://track.flexlinks.com/a.ashx?foid=1049250.1175670&fot=9999&foc=0,10/17/2014 8:03
