"ADVERTISER","SERVICEABLE AREA","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Moosejaw","CA,VI,UM,US,GB","12003234","Extra 15% off Select Clearance Styles","Get an additional 15% off past-season clearance styles from The North Face, Mountain Hardwear, Black Diamond, Lole, Icebreaker, and Napapijri. Use code FROYO.","clearance, save, moosejaw, moose, outdoors, winter","Text Link","New","New","12-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12003234"" target=""_top"">Get an additional 15% off past-season clearance styles from The North Face, Mountain Hardwear, Black Diamond, Lole, Icebreaker, and Napapijri. Use code FROYO.</a><img src=""http://www.tqlkg.com/image-7195889-12003234"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-12529523?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12003234","Coupon","FROYO","12-Nov-2014","16-Nov-2014","Outdoors","1551486","Active","English","No"
"Golfsmith Affiliate Program","IT,VE,QA,NL,BN,SA,MX,NO,HK,UY,TT,ES,GI,FK,TW,AE,CR,AR,MC,PR,HU,BM,GR,BB,IL,VI,CH,GB,RO,GU,PG,PY,LU,HN,AU,ZA,EC,BS,RU,SC,UM,DO,PH,TC,AW,IE,SE,DE,AN,JM,HT,PA,VG,AT,NZ,PE,GT,VA,SV,VU,BZ,JP,EG,US,PT,MH,PL,BR,IN","12002990","Free Shipping on Orders Over $99 with code SAL444FSH at Golfsmith.com! Offer valid for a limited time.","Free Shipping on Orders Over $99 with code SAL444FSH at Golfsmith.com! Offer valid for a limited time.","Free Shipping on Orders Over $99 with code SAL444FSH at Golfsmith.com! Offer valid for a limited time.","Text Link","New","New","12-Nov-2014","<a href=""http://www.jdoqocy.com/click-7195889-12002990"" target=""_top"">Free Shipping on Orders Over $99 with code SAL444FSH at Golfsmith.com! Offer valid for a limited time.</a><img src=""http://www.lduhtrp.net/image-7195889-12002990"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12529524?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12002990","Coupon","SAL444FSH","12-Nov-2014","15-Nov-2014","Golf","1169237","Active","English","No"
"Cardstore","US,CA","12003018","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12003018"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12003018"" width=""292"" height=""404"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-12529525?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12003018","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003014","Affiliate Exclusive! 30% off Sitewide + FREE Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + FREE Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, holiday party invitations, birthday cards, birthday invites, save-the-dates, birth announcements, party invites","Text Link","New","New","12-Nov-2014","<a href=""http://www.jdoqocy.com/click-7195889-12003014"" target=""_top"">Affiliate Exclusive! 30% off Sitewide + FREE Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!</a><img src=""http://www.ftjcfx.com/image-7195889-12003014"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12529526?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12003014","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003020","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12003020"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-12003020"" width=""292"" height=""404"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12529527?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-12003020","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003021","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12003021"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12003021"" width=""404"" height=""292"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12529528?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-12003021","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003022","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12003022"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12003022"" width=""404"" height=""292"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12529529?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12003022","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003023","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12003023"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12003023"" width=""404"" height=""292"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12529531?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12003023","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003024","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12003024"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12003024"" width=""292"" height=""404"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12529532?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12003024","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003026","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12003026"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12003026"" width=""292"" height=""404"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12529533?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12003026","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003027","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12003027"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-12003027"" width=""404"" height=""292"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12529534?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12003027","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003028","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12003028"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12003028"" width=""404"" height=""292"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12529535?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12003028","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Cardstore","US,CA","12003029","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: CAN4103, Valid 11/13 through 11/19/14. Make A Card Now!","holidays, thanksgiving, christmas, holiday cards, christmas cards, hanukkah cards, kwanzaa cards, new year's cards, season greetings cards, invitations, business holiday cards","Banner","New","New","12-Nov-2014","<a href=""http://www.jdoqocy.com/click-7195889-12003029"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12003029"" width=""292"" height=""404"" alt=""Affiliate Exclusive! 30% off Sitewide + Free Stamps when we mail it for you at Cardstore! Use Code: "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12529536?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-12003029","Coupon","CAN4103","12-Nov-2014","19-Nov-2014","Greeting Cards","2511755","Active","English","No"
"Amormoda","CL,RU,NO,AU,FI,FR,ES,DE,CZ,US,SE,CH,GB,AR,IT,CA,DK,SA,IE,MX,BR,NL","11777376","La Saison des Mariages est Lancée! €24 de réduction à partir de €165 pour Robes de Mariée @Amormoda.com!","La Saison des Mariages est Lancée! €24 de réduction à partir de €165 pour Robes de Mariée @Amormoda.com!","réduction,Mariages, Robes de Mariée, amormoda, Amormoda, coupon, soldes","Banner","","","11-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-11777376"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11777376"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12529537?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-11777376","Coupon","Mariage24","30-Apr-2014","31-Dec-2014","Womens","3993357","Active","French","No"
"eBags","US,CA","12002680","Extra 20% Off Handbags","Extra 20% Off Handbags","","Text Link","New","New","11-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12002680"" target=""_top"">Extra 20% Off Handbags</a><img src=""http://www.awltovhc.com/image-7195889-12002680"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12516884?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12002680","Coupon","HOLIDAY","12-Nov-2014","16-Nov-2014","Luggage","1206555","Active","English","No"
"Gallery Collection","US","12000052","TGC - HOLIDAY Offer - Order 100+ Gallery Collection Holiday Cards and receive 20 Free 4x8 or 8x4 Flat Photo Cards  from Cherishables.com","Order 100+ Holiday Cards at GalleryCollection.com and receive 20 FREE (4x8 or 8x4 Flat) Photo Cards from Cherishables.com + Free Shipping. ","cards, discount, holiday, christmas","Text Link","New","New","11-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12000052"" target=""_top"">Order 100+ Holiday Cards at GalleryCollection.com and receive 20 FREE (4x8 or 8x4 Flat) Photo Cards from Cherishables.com + Free Shipping. Use Priority Code J4JAC at checkout!</a><img src=""http://www.awltovhc.com/image-7195889-12000052"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-12512563?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12000052","Coupon","J4JAC","12-Nov-2014","1-Dec-2014","Greeting Cards","4014359","Active","English","No"
"Newegg.com","US","12002544","$100 off Klipsch KHO-7 Outdoor 5.5"" Speaker White Pair - $199 shipped w/ code AFWW234 + Free Shipping at Newegg, ends 11/17","$100 off Klipsch KHO-7 Outdoor 5.5"" Speaker White Pair - $199 shipped w/ code AFWW234 + Free Shipping at Newegg, ends 11/17","neweg.com, newegg.com, newegg, new, egg, new egg","Text Link","New","New","11-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12002544"" target=""_top"">$100 off Klipsch KHO-7 Outdoor 5.5"" Speaker White Pair - $199 shipped w/ code AFWW234 + Free Shipping at Newegg, ends 11/17</a><img src=""http://www.ftjcfx.com/image-7195889-12002544"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12516885?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12002544","Coupon","AFWW234","11-Nov-2014","17-Nov-2014","Consumer Electronics","1807847","Active","English","No"
"Pacific Sunwear Affiliate Program","US","11991219","20% off your $50 purchase* + Free Shipping over $30  Use code: STACK20","20% off your $50 purchase* + Free Shipping over $30  Use code: STACK20  (*Not valid with BOGO items.) 
Starts 11/1
Ends 11/25

","","Text Link","New","New","11-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-11991219"" target=""_top"">20% off your $50 purchase* + Free Shipping over $30  Use code: STACK20  (*Not valid with BOGO items.)</a><img src=""http://www.awltovhc.com/image-7195889-11991219"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12400953?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-11991219","Coupon","STACK20","1-Nov-2014","25-Nov-2014","Mens","399634","Active","English","No"
"Pacific Sunwear Affiliate Program","US","11995516","25% Off Entire Purchase Reg.Price & Markdown Items + Free Shipping No Minimum","25% Off Entire Purchase Reg.Price & Markdown Items + Free Shipping No Minimum, Use Code: NOV25

","","Text Link","New","New","11-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-11995516"" target=""_top"">25% Off Entire Purchase Reg.Price & Markdown Items + Free Shipping No Minimum, Use Code: NOV25</a><img src=""http://www.ftjcfx.com/image-7195889-11995516"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12435131?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11995516","Coupon","NOV25","5-Nov-2014","16-Nov-2014","Mens","399634","Active","English","No"
"Newegg.com","US","12001784","GIGABYTE GV-N980WF3OC-4GD GeForce GTX 980 4GB 256-Bit DDR5 PCI Express 3.0 WINDFORCE 3X GAMING Graphics Card - $556.79 w/ 4% promo code TR1111VGA + Free Shipping at Newegg, ends 11/13","GIGABYTE GV-N980WF3OC-4GD GeForce GTX 980 4GB 256-Bit DDR5 PCI Express 3.0 WINDFORCE 3X GAMING Graphics Card - $556.79 w/ 4% promo code TR1111VGA + Free Shipping at Newegg, ends 11/13","neweg.com, newegg.com, newegg, new, egg, new egg","Text Link","New","New","11-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12001784"" target=""_top"">GIGABYTE GV-N980WF3OC-4GD GeForce GTX 980 4GB 256-Bit DDR5 PCI Express 3.0 WINDFORCE 3X GAMING Graphics Card - $556.79 w/ 4% promo code TR1111VGA + Free Shipping at Newegg, ends 11/13</a><img src=""http://www.lduhtrp.net/image-7195889-12001784"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-12516886?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12001784","Coupon","TR1111VGA","11-Nov-2014","13-Nov-2014","Consumer Electronics","1807847","Active","English","No"
"Kay Jewelers","US","12001812","Free Overnight Shipping with code KAOS0000001015","Free Overnight Shipping with code KAOS0000001015","Free Overnight Shipping with code KAOS0000001015","Text Link","New","New","11-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12001812"" target=""_top"">Free Overnight Shipping with code KAOS0000001015</a><img src=""http://www.lduhtrp.net/image-7195889-12001812"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12516887?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12001812","Coupon","KAOS0000001015","10-Nov-2014","26-Nov-2014","Jewelry","3588171","Active","English","Yes"
