"ADVERTISER","SERVICEABLE AREA","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Lands' End","CA,US","12011285","11.24_30all40cat_TXT","***DO NOT POST UNTIL 11.24***7 Days of Great Gifts: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","","Text Link","New","New","20-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12011285"" target=""_top"">7 Days of Great Gifts: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. </a><img src=""http://www.awltovhc.com/image-7195889-12011285"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12686758?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12011285","Coupon","TBD","23-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018390","11.24_30all40cat_BNR_120x600","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-12018390"" target=""_top""> <img src=""http://www.awltovhc.com/image-7195889-12018390"" width=""120"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12686759?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-12018390","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018391","11.24_30all40cat_BNR_125x125","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12018391"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12018391"" width=""125"" height=""125"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12686760?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-12018391","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018393","11.24_30all40cat_BNR_120x60","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12018393"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12018393"" width=""120"" height=""60"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12686761?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-12018393","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018444","11.24_30all40cat_BNR_120x90","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12018444"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-12018444"" width=""120"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12686762?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-12018444","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018448","11.24_30all40cat_BNR_160x600","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.anrdoezrs.net/click-7195889-12018448"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12018448"" width=""160"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12686763?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12018448","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018451","11.24_30all40cat_BNR_200x200","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.jdoqocy.com/click-7195889-12018451"" target=""_top""> <img src=""http://www.awltovhc.com/image-7195889-12018451"" width=""200"" height=""200"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12686764?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12018451","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018453","11.24_30all40cat_BNR_300x250","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12018453"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12018453"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12686765?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12018453","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018459","11.24_30all40cat_BNR_320x50","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-12018459"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-12018459"" width=""320"" height=""50"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12686766?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-12018459","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
"Lands' End","CA,US","12018460","11.24_30all40cat_BNR_180x150","***DO NOT POST UNTIL 11.24***Thanksgiving week: 40% off select categories daily and 30% off the remainder of your order. Check back daily for the newest deal. ","thanksgiving, black friday, sale, discount,","Banner","New","New","20-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-12018460"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-12018460"" width=""180"" height=""150"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12686767?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-12018460","Coupon","TBD","24-Nov-2014","30-Nov-2014","Malls","3683615","Active","English","No"
