"ADVERTISER","SERVICEABLE AREA","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Walgreens","VI,US,PR","11991066","Affiliate Exclusive - Buy 50 4x6 Prints, Get 50 4x6 Prints FREE w/ code PRINT2X","Affiliate Exclusive - Buy 50 4x6 Prints, Get 50 4x6 Prints FREE w/ code PRINT2X","Affiliate Exclusive - Buy 50 4x6 Prints, Get 50 4x6 Prints FREE w/ code PRINT2X","Text Link","New","New","1-Nov-2014","<a href=""http://www.tkqlhce.com/click-7195889-11991066"" target=""_top"">Affiliate Exclusive - Buy 50 4x6 Prints, Get 50 4x6 Prints FREE w/ code PRINT2X</a><img src=""http://www.lduhtrp.net/image-7195889-11991066"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12400947?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11991066","Coupon","","1-Nov-2014","29-Nov-2014","Wellness","2568723","Active","English","Yes"
"Walgreens","VI,US,PR","11991082","Affiliate Exclusive - 20% OFF Everything Photo w/ code PHOTO4ALL","Affiliate Exclusive - 20% OFF Everything Photo w/ code PHOTO4ALL","Affiliate Exclusive - 20% OFF Everything Photo w/ code PHOTO4ALL","Text Link","New","New","1-Nov-2014","<a href=""http://www.kqzyfj.com/click-7195889-11991082"" target=""_top"">Affiliate Exclusive - 20% OFF Everything Photo w/ code PHOTO4ALL</a><img src=""http://www.lduhtrp.net/image-7195889-11991082"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12400948?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11991082","Coupon","SPOOKY20","1-Nov-2014","29-Nov-2014","Wellness","2568723","Active","English","Yes"
"Walgreens","VI,US,PR","11991088","Affiliate Exclusive - 50% OFF Photo Cards on Sets of 3+ w/ code CARDSET3","Affiliate Exclusive - 50% OFF Photo Cards on Sets of 3+ w/ code CARDSET3","Affiliate Exclusive - 50% OFF Photo Cards on Sets of 3+ w/ code CARDSET3","Text Link","New","New","1-Nov-2014","<a href=""http://www.dpbolvw.net/click-7195889-11991088"" target=""_top"">Affiliate Exclusive - 50% OFF Photo Cards on Sets of 3+ w/ code CARDSET3</a><img src=""http://www.awltovhc.com/image-7195889-11991088"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12400949?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11991088","Coupon","","1-Nov-2014","29-Nov-2014","Wellness","2568723","Active","English","Yes"
"netTALK","US","11876735","120x600 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","$0.00 USD","23-Sep-2014","<a href=""http://www.dpbolvw.net/click-7195889-11876735"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11876735"" width=""120"" height=""600"" alt=""120x600 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-12248672?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-11876735","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11879603","250x250 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.tkqlhce.com/click-7195889-11879603"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11879603"" width=""250"" height=""250"" alt=""250x250 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12248673?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11879603","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11879790","300x250 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.jdoqocy.com/click-7195889-11879790"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11879790"" width=""300"" height=""250"" alt=""300x250 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12248675?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11879790","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11880117","336x280 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.kqzyfj.com/click-7195889-11880117"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11880117"" width=""336"" height=""280"" alt=""336x280 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-12248676?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-11880117","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11879175","160x600 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.dpbolvw.net/click-7195889-11879175"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11879175"" width=""160"" height=""600"" alt=""160x600 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-12248677?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-11879175","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11879378","200x200 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.jdoqocy.com/click-7195889-11879378"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11879378"" width=""200"" height=""200"" alt=""200x200 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-12248678?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-11879378","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
"netTALK","US","11879978","320x50 Buy Now and Get 25% OFF Coupon on Any Duo","Calls US and Canada for FREE and ultra low cost international calls! Fire your phone company and never pay a monthly phone bill again. netTALK is everything you want and expect from a traditional home phone service, except the high cost! Get 25% OFF on any Duo by using coupon code: SAVE25 at netTALK.com.","nettalk.com, nettalk, net talk, home phone, home phone service, phone service, VoIP home phone servcie, device, duo, nettalk duo, duo product, free local calls, free calls, duo wifi, duo ii, free unlimited calls","Banner","","","23-Sep-2014","<a href=""http://www.jdoqocy.com/click-7195889-11879978"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11879978"" width=""320"" height=""50"" alt=""320x50 Buy Now and Get 25% OFF Coupon on Any Duo"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-12248679?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-11879978","Coupon","SAVE25","9-Jul-2014","31-Dec-2014","Utilities","4323559","Active","English","No"
