Subtracking,Product Name,Merchant Sale Amount,Cash back,AN,Advertiser Name, Date ,transaction_id
546acf2ecdf2f,"Cast your favorite entertainment from your phone or tablet to the TV. Plug Chromecast into any HDTV and control it with your existing smartphone, tablet, or laptop. Chromecast works with a growing number of apps including Netflix, YouTube, Pandora, HBO GO, WatchESPN, Google Play, Hulu Plus and more. ",32,5,flex_offers,Walmart,7/29/2014,4739717
546acf2ecdf2f,Sony PlayStation 4 - 500 GB - Glacier white - includes Destiny,450,50.2,link_share,Target,8/4/2014,4674014
546acf2ecdf2f,Giro Section Helmet Large Light Blue Flowers,30,2.78,flex_offers,Walmart,8/10/2014,4611359
546acf2ecdf2f,Jeansian Fashion Unisex Men Women Vintage Canvas Messenger Bags Rucksack Student Bag Satchel Travel Wholesale Sports BG002,62.13,6.36,flex_offers,BestBuy,8/16/2014,4612424
546acf2ecdf2f,Samsung Series 3 Chromebook XE303C12 - Exynos 5 1.7 GHz - 11.6? 1366 x 768 - 2 GB RAM - Silver,199,28.32,flex_offers,Best Buy,8/22/2014,4636359
546acf2ecdf2f,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",736.1,147.22,flex_offers,Go Daddy,8/28/2014,4886347
546acf2ecdf2f,Nine West &quot;Neo Geo&quot; Medium Satchel,29.97,4.29,flex_offers,Nordstrom,9/3/2014,4875443
546acf2ecdf2f,The FTD University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,391.15,30.22,link_share,FTD,9/9/2014,4759888
546acf2ecdf2f,Nine West &quot;Neo Geo&quot; Medium Satchel,754.73,75.47,flex_offers,Nordstrom,9/15/2014,4704710
546acf2ecdf2f,Foot Locker Default Link,763.98,38.19,link_share,Foot Locker,9/21/2014,4605331
546acf2ecdf2f,Chico's.com,230.85,46.17,link_share,Foot Locker,9/27/2014,4806835
546acf2ecdf2f,Shop AnnTaylor.com,677.98,85.54,link_share,Foot Locker,10/3/2014,4989306
546acf2ecdf2f,WhiteHouseBlackMarket.com,536.8,107.36,link_share,Foot Locker,10/9/2014,4708132
546acf2ecdf2f,Shop AnnTaylor.com,1134.7,226.94,link_share,Foot Locker,10/15/2014,4685375
