Subtracking,Product Name,Cash back,Merchant Sale Amount,AN,Advertiser Name, Date ,transaction_id
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",28.32,141.6,flex_offers,Go Daddy,11/10/2014,4636359
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",30.45,276.8181818,flex_offers,Go Daddy,11/10/2014,4739717
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",35.93,359.3,flex_offers,Go Daddy,11/10/2014,4843364
54628d5850b6c,NORDSTROM,39.78,795.6,flex_offers,Go Daddy,11/10/2014,4633590
54628d5850b6c,NORDSTROM,43.585,435.85,flex_offers,Go Daddy,11/10/2014,4661608
54628d5850b6c,NORDSTROM,47.571,237.855,flex_offers,Nordstrom,11/10/2014,4610897
54628d5850b6c,NORDSTROM,51.557,468.7,flex_offers,Nordstrom,11/10/2014,4762508
54628d5850b6c,NORDSTROM,55.543,555.43,flex_offers,Nordstrom,11/10/2014,4866565
54628d5850b6c,NORDSTROM,59.529,1190.58,flex_offers,Nordstrom,11/10/2014,4655318
54628d5850b6c,NORDSTROM,63.515,635.15,flex_offers,Nordstrom,11/10/2014,4804569
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",67.501,337.505,flex_offers,Nordstrom,11/10/2014,4789280
54628d5850b6c,NORDSTROM,71.487,649.8818182,flex_offers,Nordstrom,11/10/2014,4844059
54628d5850b6c,Nine West &quot;Neo Geo&quot; Medium Satchel,75.473,754.73,flex_offers,Nordstrom,11/10/2014,4704710
54628d5850b6c,Nine West &quot;Neo Geo&quot; Medium Satchel,79.459,1589.18,flex_offers,Nordstrom,11/10/2014,4512802
54628d5850b6c,Nine West &quot;Neo Geo&quot; Medium Satchel,83.445,834.45,flex_offers,FTD,11/10/2014,4959815
54628d5850b6c,Nine West &quot;Neo Geo&quot; Medium Satchel,87.431,437.155,flex_offers,FTD,11/10/2014,4683877
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",91.417,831.0636364,link_share,FTD,11/10/2014,4876984
54628d5850b6c,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,95.403,954.03,link_share,FTD,11/10/2014,4865206
54628d5850b6c,Nine West &quot;Neo Geo&quot; Medium Satchel,99.389,1987.78,link_share,Foot Locker,11/10/2014,4606533
54628d5850b6c,Foot Locker Default Link,103.375,1033.75,link_share,Foot Locker,11/10/2014,4571179
54628d5850b6c,WhiteHouseBlackMarket.com,107.361,536.805,link_share,Foot Locker,11/10/2014,4708132
54628d5850b6c,Chico's.com,111.347,1012.245455,link_share,Foot Locker,11/10/2014,4693243
54628d5850b6c,Shop AnnTaylor.com,115.333,1153.33,link_share,Foot Locker,11/10/2014,4569152
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",119.319,2386.38,Amazon,Foot Locker,11/10/2014,4772229
54628d5850b6c,Shop StarbucksStore.com!,123.305,1233.05,Amazon,Nike,11/10/2014,4847358
54628d5850b6c,Shop StarbucksStore.com!,127.291,636.455,Amazon,Nike,11/10/2014,4889767
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",131.277,1193.427273,commission_junction,Nike,11/10/2014,4696169
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",135.263,1352.63,commission_junction,Nike,11/10/2014,4987588
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",139.249,2784.98,flex_offers,Go Daddy,11/10/2014,4635552
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",143.235,1432.35,flex_offers,Go Daddy,11/10/2014,4703766
54628d5850b6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",147.221,736.105,flex_offers,Go Daddy,11/10/2014,4886347
54628d5850b6c,NORDSTROM,151.207,1374.609091,flex_offers,Go Daddy,11/10/2014,4674014
54628d5850b6c,NORDSTROM,155.193,1551.93,flex_offers,Go Daddy,11/10/2014,4535022
54628d5850b6c,NORDSTROM,159.179,3183.58,flex_offers,Nordstrom,11/10/2014,4648424
54380b0a55d94,NORDSTROM,163.165,1631.65,flex_offers,Nordstrom,11/10/2014,4836583
